cutoff_date,item_id,store_code,scope,critical_fractile,shortage_cost,overage_cost,point_demand_forecast_14d,target_inventory_14d
2015-12-27,33,1,store,0.35847208619000975,14.64,26.2,0.01893129761712953,5.560270622052364e-05
2015-12-27,33,2,store,0.3585972850678733,12.68,22.68,0.6237423036647273,0.5223348564625137
2015-12-27,33,3,store,0.3586440677966102,21.16,37.84,0.328491905397967,0.02145297206256876
2015-12-27,33,4,store,0.35870384325546345,19.04,34.04,2.356746713275595,1.7046993898471625
2015-12-27,33,5,store,0.35864978902953587,23.8,42.56,0.7860871382044194,0.3041421954596451
2015-12-27,33,all,national,0.3587521663778163,47.61,85.1,4.948139738423311,3.9186687306714543
2015-12-27,132,1,store,0.3475103734439834,13.4,25.16,0.0,5.467983972723694e-05
2015-12-27,132,2,store,0.3473053892215569,11.6,21.8,0.02660620458924246,0.0
2015-12-27,132,3,store,0.34698275862068967,19.32,36.36,0.0,0.0
2015-12-27,132,4,store,0.34716679968076614,17.4,32.72,7.216033468214465e-06,5.455248218709528e-05
2015-12-27,132,5,store,0.34738186462324394,21.76,40.88,7.216033468214465e-06,5.4632203472528134e-05
2015-12-27,132,all,national,0.3471424010217114,43.49,81.79,0.8950247023773356,0.3387396920854147
2015-12-27,330,1,store,0.24037460978147765,9.24,29.2,7.216033468214465e-06,1.496625044298521e-05
2015-12-27,330,2,store,0.24038461538461536,8.0,25.28,7.216033468214465e-06,1.4969959367064045e-05
2015-12-27,330,3,store,0.24063400576368876,13.36,42.16,7.216033468214465e-06,1.5062404566943002e-05
2015-12-27,330,4,store,0.2401921537229784,12.0,37.96,7.216033468214465e-06,1.4898616772192618e-05
2015-12-27,330,5,store,0.2402306213965407,15.0,47.44,0.24068802636469538,0.0
2015-12-27,330,all,national,0.2404100264274846,30.02,94.85,0.3536563360921125,0.033713821648015715
2015-12-27,549,1,store,0.3114909781576448,13.12,29.0,2.960137700584679,1.844191342042159
2015-12-27,549,2,store,0.3114035087719298,11.36,25.12,2.2018935848845924,1.4288354925235462
2015-12-27,549,3,store,0.3116370808678501,18.96,41.88,1.559146870016371,0.9583579839193728
2015-12-27,549,4,store,0.3111760409057706,17.04,37.72,3.4076751759215225,1.8539787410082762
2015-12-27,549,5,store,0.3115137346580947,21.32,47.12,2.798034512116134,1.7305268582255775
