cutoff_kind,cutoff_date,rows,items,series,mean_target_14d,zero_target_rate
backtest,2015-01-11,1821,307,1821,19.99341021416804,0.36957715540911584
backtest,2015-01-25,1878,317,1878,21.56975505857295,0.369542066027689
backtest,2015-02-08,1949,328,1949,5.752693689071319,0.6151872755259107
backtest,2015-02-22,1969,331,1969,14.438801422041646,0.3946165566277298
backtest,2015-03-08,2035,342,2035,17.0992628992629,0.3469287469287469
backtest,2015-03-22,2185,367,2185,19.811441647597253,0.3519450800915332
backtest,2015-04-05,2289,384,2289,20.712975098296198,0.3534294451725644
backtest,2015-04-19,2385,401,2385,20.62264150943396,0.3534591194968553
backtest,2015-05-03,2518,421,2518,19.341143764892774,0.3510722795869738
backtest,2015-05-17,2717,455,2717,19.200588884799412,0.3588516746411483
backtest,2015-05-31,2927,490,2927,26.364878715408267,0.35599590023915273
backtest,2015-06-14,3077,516,3077,33.892427689307766,0.314267143321417
backtest,2015-06-28,3224,540,3224,19.402915632754343,0.34708436724565755
backtest,2015-07-12,3380,565,3380,20.175739644970413,0.35325443786982247
backtest,2015-07-26,3537,592,3537,22.433983601922534,0.3567995476392423
backtest,2015-08-09,3684,617,3684,19.218783930510316,0.3355048859934853
backtest,2015-08-23,4018,674,4018,19.69213539074166,0.32578397212543553
backtest,2015-09-06,4143,697,4143,22.013275404296405,0.3181269611392711
backtest,2015-09-20,4384,738,4384,21.43316605839416,0.3090784671532847
backtest,2015-10-04,4604,773,4604,23.292354474370114,0.29800173761946136
backtest,2015-10-18,4821,811,4821,21.898361335822443,0.3134204521883427
backtest,2015-11-01,5216,878,5216,74.31710122699387,0.17216257668711657
backtest,2015-11-15,5479,917,5479,24.59007118087242,0.292024091987589
backtest,2015-11-29,5582,935,5582,34.892869939089934,0.21730562522393407
backtest,2015-12-13,5742,960,5742,24.56931382793452,0.22640195053988157
inference,2015-12-27,5771,963,5771,,0.0
